split_group_id,bag_count,paired_frame_count,bcs_values,n_bcs_values,bag_ids
Cow_1,1,19,4,1,BCS4__Cow_1
Cow_1_27,1,4,5,1,BCS5__Cow_1_27
Cow_1_6006,1,4,4,1,BCS4__Cow_1_6006
Cow_2,1,15,4,1,BCS4__Cow_2
Cow_2_1015,1,5,3,1,BCS3__Cow_2_1015
Cow_2_6006,1,31,6,1,BCS6__Cow_2_6006
Cow_2_6016,1,2,4,1,BCS4__Cow_2_6016
Cow_3,1,19,5,1,BCS5__Cow_3
Cow_3_25,1,46,6,1,BCS6__Cow_3_25
Cow_3_3083,1,5,3,1,BCS3__Cow_3_3083
Cow_3_6018,1,1,4,1,BCS4__Cow_3_6018
Cow_4,2,43,4,1,BCS4__Cow_4;BCS4__Cow_4_1
Cow_4_103,1,61,6,1,BCS6__Cow_4_103
Cow_4_8036,1,2,5,1,BCS5__Cow_4_8036
Cow_5,2,92,2,1,BCS2__Cow_5;BCS2__Cow_5_1
Cow_5_273,1,3,4,1,BCS4__Cow_5_273
Cow_5_1018,1,2,4,1,BCS4__Cow_5_1018
Cow_6,1,42,4,1,BCS4__Cow_6
Cow_6_103,1,5,3,1,BCS3__Cow_6_103
Cow_6_5029,1,4,5,1,BCS5__Cow_6_5029
Cow_6_5051,1,5,5,1,BCS5__Cow_6_5051
Cow_7,2,22,4,1,BCS4__Cow_7;BCS4__Cow_7_06
Cow_7_6022,1,4,5,1,BCS5__Cow_7_6022
Cow_7_9008,1,61,6,1,BCS6__Cow_7_9008
Cow_8,1,39,4,1,BCS4__Cow_8
Cow_8_2023,1,6,3,1,BCS3__Cow_8_2023
Cow_8_9012,1,4,4,1,BCS4__Cow_8_9012
Cow_8_NOTAG,1,7,5,1,BCS5__Cow_8_NOTAG
Cow_9,1,26,4,1,BCS4__Cow_9
Cow_9_1044,1,46,6,1,BCS6__Cow_9_1044
Cow_9_NOTAG,1,4,4,1,BCS4__Cow_9_NOTAG
Cow_9_NOTG,1,2,5,1,BCS5__Cow_9_NOTG
Cow_10,3,91,4,1,BCS4__Cow_10;BCS4__Cow_10_1;BCS4__Cow_10_0014
Cow_10_0029,1,7,5,1,BCS5__Cow_10_0029
Cow_10_2038,1,4,4,1,BCS4__Cow_10_2038
Cow_11,3,605,2,1,BCS2__Cow_11;BCS2__Cow_11_1;BCS2__Cow_11_2
Cow_11_07,1,41,6,1,BCS6__Cow_11_07
Cow_11_0018,1,4,4,1,BCS4__Cow_11_0018
Cow_11_0075,1,4,4,1,BCS4__Cow_11_0075
Cow_12,1,23,3,1,BCS3__Cow_12
Cow_12_2014,1,49,6,1,BCS6__Cow_12_2014
Cow_12_6006,1,3,5,1,BCS5__Cow_12_6006
Cow_12_NOTAG,1,4,5,1,BCS5__Cow_12_NOTAG
Cow_13,1,23,5,1,BCS5__Cow_13
Cow_13_66,1,46,6,1,BCS6__Cow_13_66
Cow_13_8001,1,4,5,1,BCS5__Cow_13_8001
Cow_13_9025,1,4,4,1,BCS4__Cow_13_9025
Cow_14,2,24,3,1,BCS3__Cow_14;BCS3__Cow_14_0011
Cow_14_1044,1,3,5,1,BCS5__Cow_14_1044
Cow_15,1,29,5,1,BCS5__Cow_15
Cow_15_68,1,3,4,1,BCS4__Cow_15_68
Cow_16,3,51,3,1,BCS3__Cow_16;BCS3__Cow_16_1;BCS3__Cow_16_2
Cow_16_06,1,76,6,1,BCS6__Cow_16_06
Cow_16_1004,1,4,3,1,BCS3__Cow_16_1004
Cow_17,1,26,4,1,BCS4__Cow_17
Cow_17_17,1,8,5,1,BCS5__Cow_17_17
Cow_17_72,1,3,5,1,BCS5__Cow_17_72
Cow_18,1,46,6,1,BCS6__Cow_18
Cow_18_32,1,57,6,1,BCS6__Cow_18_32
Cow_18_1067,1,2,4,1,BCS4__Cow_18_1067
Cow_19,1,65,4,1,BCS4__Cow_19
Cow_19_29,1,61,6,1,BCS6__Cow_19_29
Cow_19_0037,1,6,4,1,BCS4__Cow_19_0037
Cow_20,2,20,5,1,BCS5__Cow_20;BCS5__Cow_20_10
Cow_20_0029,1,4,3,1,BCS3__Cow_20_0029
Cow_21,1,26,5,1,BCS5__Cow_21
Cow_21_4079,1,2,5,1,BCS5__Cow_21_4079
Cow_21_8029,1,61,2,1,BCS2__Cow_21_8029
Cow_22,2,86,3,1,BCS3__Cow_22;BCS3__Cow_22_1
Cow_22_1004,1,16,6,1,BCS6__Cow_22_1004
Cow_22_6005,1,5,4,1,BCS4__Cow_22_6005
Cow_23,2,80,4,1,BCS4__Cow_23;BCS4__Cow_23_1
Cow_23_49,1,3,5,1,BCS5__Cow_23_49
Cow_23_1067,1,5,5,1,BCS5__Cow_23_1067
Cow_24,1,25,5,1,BCS5__Cow_24
Cow_24_08,1,31,6,1,BCS6__Cow_24_08
Cow_24_7022,1,4,5,1,BCS5__Cow_24_7022
Cow_25,1,66,5,1,BCS5__Cow_25
Cow_25_66,1,5,3,1,BCS3__Cow_25_66
Cow_25_6005,1,4,5,1,BCS5__Cow_25_6005
Cow_26,1,15,4,1,BCS4__Cow_26
Cow_26_6,1,61,6,1,BCS6__Cow_26_6
Cow_26_5051,1,12,4,1,BCS4__Cow_26_5051
Cow_27,3,46,5,1,BCS5__Cow_27;BCS5__Cow_27_1;BCS5__Cow_27_14
Cow_27_9008,1,7,4,1,BCS4__Cow_27_9008
Cow_28,1,30,5,1,BCS5__Cow_28
Cow_28_3083,1,46,6,1,BCS6__Cow_28_3083
Cow_28_4024,1,6,5,1,BCS5__Cow_28_4024
Cow_29,1,30,5,1,BCS5__Cow_29
Cow_29_7007,1,5,4,1,BCS4__Cow_29_7007
Cow_29_NOTAG,1,46,6,1,BCS6__Cow_29_NOTAG
Cow_30,1,14,4,1,BCS4__Cow_30
Cow_30_30,1,7,5,1,BCS5__Cow_30_30
Cow_30_2021,1,3,5,1,BCS5__Cow_30_2021
Cow_31,1,13,4,1,BCS4__Cow_31
Cow_31_15,1,4,5,1,BCS5__Cow_31_15
Cow_31_2024,1,5,5,1,BCS5__Cow_31_2024
Cow_32,1,15,5,1,BCS5__Cow_32
Cow_32_34,1,61,6,1,BCS6__Cow_32_34
Cow_32_0035,1,8,4,1,BCS4__Cow_32_0035
Cow_33,1,105,4,1,BCS4__Cow_33
Cow_33_3008,1,2,3,1,BCS3__Cow_33_3008
Cow_34,2,58,5,1,BCS5__Cow_34;BCS5__Cow_34_1
Cow_35,1,45,6,1,BCS6__Cow_35
Cow_35_1044,1,3,4,1,BCS4__Cow_35_1044
Cow_36,2,95,6,1,BCS6__Cow_36;BCS6__Cow_36_1
Cow_37,1,28,5,1,BCS5__Cow_37
Cow_37_and_38,1,24,5,1,BCS5__Cow_37_and_38
Cow_41,2,65,4,1,BCS4__Cow_41;BCS4__Cow_41_1
Cow_42,1,27,4,1,BCS4__Cow_42
Cow_43,1,38,5,1,BCS5__Cow_43
Cow_44_1,1,46,4,1,BCS4__Cow_44_1
Cow_44_3008,1,10,5,1,BCS5__Cow_44_3008
Cow_45,1,25,5,1,BCS5__Cow_45
Cow_45_9025,1,46,6,1,BCS6__Cow_45_9025
Cow_46,3,105,3,1,BCS3__Cow_46;BCS3__Cow_46_1;BCS3__Cow_46_2
Cow_47_1,1,7,4,1,BCS4__Cow_47_1
Cow_47_68,1,31,6,1,BCS6__Cow_47_68
Cow_48,1,13,4,1,BCS4__Cow_48
Cow_48_1018,1,3,5,1,BCS5__Cow_48_1018
Cow_49,1,9,4,1,BCS4__Cow_49
Cow_49_72,1,2,5,1,BCS5__Cow_49_72
Cow_50,1,39,5,1,BCS5__Cow_50
Cow_50_49,1,3,5,1,BCS5__Cow_50_49
Cow_51,1,4,4,1,BCS4__Cow_51
Cow_51_0035,1,5,4,1,BCS4__Cow_51_0035
Cow_52_29,1,61,6,1,BCS6__Cow_52_29
Cow_53,1,7,3,1,BCS3__Cow_53
Cow_53_30,1,13,5,1,BCS5__Cow_53_30
Cow_54,1,7,5,1,BCS5__Cow_54
Cow_55,1,5,4,1,BCS4__Cow_55
