bag_id,split_group_id,group_name,animal_id_guess,bcs_raw,label5,label3,is_high,rgb_count,npy_count,paired_count,missing_npy_count,duplicate_npy_keys
BCS2__Cow_5,Cow_5,Cow_5,Cow_5,2,0,0,0,46,46,46,0,
BCS2__Cow_5_1,Cow_5,Cow_5_1,Cow_5,2,0,0,0,46,46,46,0,
BCS2__Cow_11,Cow_11,Cow_11,Cow_11,2,0,0,0,504,504,504,0,
BCS2__Cow_11_1,Cow_11,Cow_11_1,Cow_11,2,0,0,0,52,52,52,0,
BCS2__Cow_11_2,Cow_11,Cow_11_2,Cow_11,2,0,0,0,49,49,49,0,
BCS2__Cow_21_8029,Cow_21_8029,Cow_21_8029,Cow_21_8029,2,0,0,0,61,61,61,0,
BCS3__Cow_2_1015,Cow_2_1015,Cow_2_1015,Cow_2_1015,3,1,0,0,5,5,5,0,
BCS3__Cow_3_3083,Cow_3_3083,Cow_3_3083,Cow_3_3083,3,1,0,0,5,5,5,0,
BCS3__Cow_6_103,Cow_6_103,Cow_6_103,Cow_6_103,3,1,0,0,5,5,5,0,
BCS3__Cow_8_2023,Cow_8_2023,Cow_8_2023,Cow_8_2023,3,1,0,0,6,6,6,0,
BCS3__Cow_12,Cow_12,Cow_12,Cow_12,3,1,0,0,23,23,23,0,
BCS3__Cow_14,Cow_14,Cow_14,Cow_14,3,1,0,0,17,17,17,0,
BCS3__Cow_14_0011,Cow_14,Cow_14_0011,Cow_14,3,1,0,0,7,7,7,0,
BCS3__Cow_16,Cow_16,Cow_16,Cow_16,3,1,0,0,44,44,44,0,
BCS3__Cow_16_1,Cow_16,Cow_16_1,Cow_16,3,1,0,0,3,3,3,0,
BCS3__Cow_16_2,Cow_16,Cow_16_2,Cow_16,3,1,0,0,4,4,4,0,
BCS3__Cow_16_1004,Cow_16_1004,Cow_16_1004,Cow_16_1004,3,1,0,0,4,4,4,0,
BCS3__Cow_20_0029,Cow_20_0029,Cow_20_0029,Cow_20_0029,3,1,0,0,4,4,4,0,
BCS3__Cow_22,Cow_22,Cow_22,Cow_22,3,1,0,0,79,79,79,0,
BCS3__Cow_22_1,Cow_22,Cow_22_1,Cow_22,3,1,0,0,7,7,7,0,
BCS3__Cow_25_66,Cow_25_66,Cow_25_66,Cow_25_66,3,1,0,0,5,5,5,0,
BCS3__Cow_33_3008,Cow_33_3008,Cow_33_3008,Cow_33_3008,3,1,0,0,2,2,2,0,
BCS3__Cow_46,Cow_46,Cow_46,Cow_46,3,1,0,0,60,60,60,0,
