episode_id,animal_id,bag_id,bcs_raw,label5,label3,frame_count
Cow_1,Cow_1,BCS4__Cow_1,4,2,1,19
Cow_1_27,Cow_1,BCS5__Cow_1_27,5,3,1,4
Cow_1_6006,Cow_1,BCS4__Cow_1_6006,4,2,1,4
Cow_2,Cow_2,BCS4__Cow_2,4,2,1,15
Cow_2_1015,Cow_2,BCS3__Cow_2_1015,3,1,0,5
Cow_2_6006,Cow_2,BCS6__Cow_2_6006,6,4,2,31
Cow_2_6016,Cow_2,BCS4__Cow_2_6016,4,2,1,2
Cow_3,Cow_3,BCS5__Cow_3,5,3,1,19
Cow_3_25,Cow_3,BCS6__Cow_3_25,6,4,2,46
Cow_3_3083,Cow_3,BCS3__Cow_3_3083,3,1,0,5
Cow_3_6018,Cow_3,BCS4__Cow_3_6018,4,2,1,1
Cow_4,Cow_4,BCS4__Cow_4,4,2,1,4
Cow_4_1,Cow_4,BCS4__Cow_4_1,4,2,1,39
Cow_4_103,Cow_4,BCS6__Cow_4_103,6,4,2,61
Cow_4_8036,Cow_4,BCS5__Cow_4_8036,5,3,1,2
Cow_5,Cow_5,BCS2__Cow_5,2,0,0,46
Cow_5_1,Cow_5,BCS2__Cow_5_1,2,0,0,46
Cow_5_273,Cow_5,BCS4__Cow_5_273,4,2,1,3
Cow_5_1018,Cow_5,BCS4__Cow_5_1018,4,2,1,2
Cow_6,Cow_6,BCS4__Cow_6,4,2,1,42
Cow_6_103,Cow_6,BCS3__Cow_6_103,3,1,0,5
Cow_6_5029,Cow_6,BCS5__Cow_6_5029,5,3,1,4
Cow_6_5051,Cow_6,BCS5__Cow_6_5051,5,3,1,5
Cow_7,Cow_7,BCS4__Cow_7,4,2,1,18
Cow_7_06,Cow_7,BCS4__Cow_7_06,4,2,1,4
Cow_7_6022,Cow_7,BCS5__Cow_7_6022,5,3,1,4
Cow_7_9008,Cow_7,BCS6__Cow_7_9008,6,4,2,61
Cow_8,Cow_8,BCS4__Cow_8,4,2,1,39
Cow_8_2023,Cow_8,BCS3__Cow_8_2023,3,1,0,6
Cow_8_9012,Cow_8,BCS4__Cow_8_9012,4,2,1,4
Cow_8_NOTAG,Cow_8,BCS5__Cow_8_NOTAG,5,3,1,7
Cow_9,Cow_9,BCS4__Cow_9,4,2,1,26
Cow_9_1044,Cow_9,BCS6__Cow_9_1044,6,4,2,46
Cow_9_NOTAG,Cow_9,BCS4__Cow_9_NOTAG,4,2,1,4
Cow_9_NOTG,Cow_9,BCS5__Cow_9_NOTG,5,3,1,2
Cow_10,Cow_10,BCS4__Cow_10,4,2,1,72
Cow_10_1,Cow_10,BCS4__Cow_10_1,4,2,1,16
Cow_10_0014,Cow_10,BCS4__Cow_10_0014,4,2,1,3
Cow_10_0029,Cow_10,BCS5__Cow_10_0029,5,3,1,7
Cow_10_2038,Cow_10,BCS4__Cow_10_2038,4,2,1,4
Cow_11,Cow_11,BCS2__Cow_11,2,0,0,504
