animal_id,episode_count,frame_count,bcs_values,n_bcs_values,episode_ids,bag_ids,bcs2_episodes,bcs3_episodes,bcs4_episodes,bcs5_episodes,bcs6_episodes,bcs2_frames,bcs3_frames,bcs4_frames,bcs5_frames,bcs6_frames
Cow_1,3,27,"4,5",2,Cow_1;Cow_1_27;Cow_1_6006,BCS4__Cow_1;BCS5__Cow_1_27;BCS4__Cow_1_6006,0,0,2,1,0,0,0,23,4,0
Cow_2,4,53,"3,4,6",3,Cow_2;Cow_2_1015;Cow_2_6006;Cow_2_6016,BCS4__Cow_2;BCS3__Cow_2_1015;BCS6__Cow_2_6006;BCS4__Cow_2_6016,0,1,2,0,1,0,5,17,0,31
Cow_3,4,71,"3,4,5,6",4,Cow_3;Cow_3_25;Cow_3_3083;Cow_3_6018,BCS5__Cow_3;BCS6__Cow_3_25;BCS3__Cow_3_3083;BCS4__Cow_3_6018,0,1,1,1,1,0,5,1,19,46
Cow_4,4,106,"4,5,6",3,Cow_4;Cow_4_1;Cow_4_103;Cow_4_8036,BCS4__Cow_4;BCS4__Cow_4_1;BCS6__Cow_4_103;BCS5__Cow_4_8036,0,0,2,1,1,0,0,43,2,61
Cow_5,4,97,"2,4",2,Cow_5;Cow_5_1;Cow_5_273;Cow_5_1018,BCS2__Cow_5;BCS2__Cow_5_1;BCS4__Cow_5_273;BCS4__Cow_5_1018,2,0,2,0,0,92,0,5,0,0
Cow_6,4,56,"3,4,5",3,Cow_6;Cow_6_103;Cow_6_5029;Cow_6_5051,BCS4__Cow_6;BCS3__Cow_6_103;BCS5__Cow_6_5029;BCS5__Cow_6_5051,0,1,1,2,0,0,5,42,9,0
Cow_7,4,87,"4,5,6",3,Cow_7;Cow_7_06;Cow_7_6022;Cow_7_9008,BCS4__Cow_7;BCS4__Cow_7_06;BCS5__Cow_7_6022;BCS6__Cow_7_9008,0,0,2,1,1,0,0,22,4,61
Cow_8,4,56,"3,4,5",3,Cow_8;Cow_8_2023;Cow_8_9012;Cow_8_NOTAG,BCS4__Cow_8;BCS3__Cow_8_2023;BCS4__Cow_8_9012;BCS5__Cow_8_NOTAG,0,1,2,1,0,0,6,43,7,0
Cow_9,4,78,"4,5,6",3,Cow_9;Cow_9_1044;Cow_9_NOTAG;Cow_9_NOTG,BCS4__Cow_9;BCS6__Cow_9_1044;BCS4__Cow_9_NOTAG;BCS5__Cow_9_NOTG,0,0,2,1,1,0,0,30,2,46
Cow_10,5,102,"4,5",2,Cow_10;Cow_10_1;Cow_10_0014;Cow_10_0029;Cow_10_2038,BCS4__Cow_10;BCS4__Cow_10_1;BCS4__Cow_10_0014;BCS5__Cow_10_0029;BCS4__Cow_10_2038,0,0,4,1,0,0,0,95,7,0
Cow_11,6,654,"2,4,6",3,Cow_11;Cow_11_1;Cow_11_2;Cow_11_07;Cow_11_0018;Cow_11_0075,BCS2__Cow_11;BCS2__Cow_11_1;BCS2__Cow_11_2;BCS6__Cow_11_07;BCS4__Cow_11_0018;BCS4__Cow_11_0075,3,0,2,0,1,605,0,8,0,41
