bag_id,base_episode_angle_pooled,new_episode_angle_pooled,new_episode_angle_framemedian,abs_delta_pooled,signed_delta_pooled,abs_delta_framemedian
BCS2__Cow_11_2,170.0704,165.4262,168.6725,4.6441,-4.6441,1.3978
BCS3__Cow_46,166.4163,162.8174,162.8174,3.5989,-3.5989,3.5989
BCS5__Cow_53_30,170.9767,167.5011,167.1724,3.4756,-3.4756,3.8042
BCS4__Cow_22_6005,170.816,167.7288,171.1511,3.0872,-3.0872,0.3351
BCS4__Cow_49,165.7921,162.7353,162.6588,3.0568,-3.0568,3.1333
BCS3__Cow_46,166.4163,163.6402,163.5531,2.7761,-2.7761,2.8632
BCS5__Cow_53_30,170.9767,168.2691,167.8297,2.7076,-2.7076,3.147
BCS5__Cow_17_17,170.9242,168.22,169.8622,2.7043,-2.7043,1.0621
BCS4__Cow_10,169.024,166.37,166.1441,2.654,-2.654,2.8799
BCS4__Cow_15_68,170.6436,167.9989,171.2462,2.6447,-2.6447,0.6026
BCS4__Cow_9,164.2717,161.6318,161.6235,2.6399,-2.6399,2.6481
BCS6__Cow_18,170.9173,168.6026,168.355,2.3147,-2.3147,2.5624
BCS4__Cow_27_9008,166.9325,164.6495,164.6495,2.283,-2.283,2.283
BCS4__Cow_19_0037,169.5573,167.3366,168.8847,2.2207,-2.2207,0.6727
BCS4__Cow_10,169.024,167.0845,167.7191,1.9395,-1.9395,1.3049
BCS5__Cow_3,171.8824,170.1302,170.1302,1.7523,-1.7523,1.7523
BCS6__Cow_16_06,172.7114,170.9669,171.7963,1.7444,-1.7444,0.915
BCS4__Cow_19_0037,169.5573,167.8395,171.0942,1.7178,-1.7178,1.5369
BCS3__Cow_46,166.4163,164.8695,165.7361,1.5468,-1.5468,0.6802
BCS6__Cow_18,170.9173,169.42,170.274,1.4973,-1.4973,0.6433
BCS3__Cow_22,170.9117,169.417,169.6785,1.4947,-1.4947,1.2333
BCS4__Cow_8,169.6336,168.165,169.6574,1.4686,-1.4686,0.0238
BCS5__Cow_15,169.6736,168.2925,169.1614,1.3811,-1.3811,0.5122
BCS6__Cow_13_66,171.2122,169.8936,170.2201,1.3186,-1.3186,0.9921
BCS5__Cow_43,169.0247,170.3389,170.4043,1.3141,1.3141,1.3796
BCS6__Cow_19_29,172.4235,171.1202,171.0741,1.3033,-1.3033,1.3494
BCS6__Cow_19_29,172.4235,171.1202,171.358,1.3033,-1.3033,1.0655
BCS6__Cow_13_66,171.2122,169.9566,169.5559,1.2556,-1.2556,1.6564
BCS2__Cow_11_2,170.0704,168.8292,170.2957,1.2412,-1.2412,0.2253
BCS3__Cow_16,164.1467,162.9268,163.5091,1.2199,-1.2199,0.6375
BCS4__Cow_1,173.9303,172.7896,172.656,1.1407,-1.1407,1.2743
BCS3__Cow_16_1004,165.8256,164.691,167.0959,1.1345,-1.1345,1.2703
BCS5__Cow_10_0029,171.1487,170.0487,170.74,1.1,-1.1,0.4086
BCS5__Cow_30_30,172.2116,171.1658,171.1482,1.0457,-1.0457,1.0633
BCS3__Cow_25_66,162.6205,161.5804,163.0467,1.0401,-1.0401,0.4262
BCS6__Cow_47_68,171.1938,170.1738,170.3764,1.02,-1.02,0.8173
BCS2__Cow_11,172.5874,171.5814,172.2476,1.006,-1.006,0.3398
BCS5__Cow_23_1067,169.7626,168.7957,170.2939,0.9669,-0.9669,0.5313
BCS5__Cow_23_1067,169.7626,168.8168,169.6119,0.9458,-0.9458,0.1507
BCS5__Cow_17_17,170.9242,170.0236,170.7382,0.9006,-0.9006,0.186
BCS4__Cow_9,164.2717,163.3837,162.6689,0.888,-0.888,1.6027
BCS4__Cow_1,173.9303,173.0428,173.3068,0.8875,-0.8875,0.6235
BCS4__Cow_1,173.9303,173.0428,173.3068,0.8875,-0.8875,0.6235
BCS3__Cow_14_0011,169.9281,169.0546,169.4797,0.8736,-0.8736,0.4484
BCS5__Cow_13,172.7589,171.8975,171.8905,0.8614,-0.8614,0.8684
BCS4__Cow_1,173.9303,173.0759,173.3068,0.8543,-0.8543,0.6235
BCS5__Cow_50_49,169.2381,168.389,168.9834,0.8491,-0.8491,0.2547
BCS4__Cow_22_6005,170.816,171.6385,171.8036,0.8226,0.8226,0.9877
BCS4__Cow_49,165.7921,166.6137,168.5838,0.8216,0.8216,2.7917
BCS4__Cow_42,169.31,168.5019,167.9333,0.8081,-0.8081,1.3767
BCS6__Cow_16_06,172.7114,171.9406,172.144,0.7708,-0.7708,0.5674
BCS3__Cow_14,162.6376,161.8753,162.6376,0.7623,-0.7623,0.0
BCS6__Cow_4_103,172.5748,171.8158,171.8337,0.7589,-0.7589,0.7411
BCS3__Cow_46_1,162.4482,161.711,161.1609,0.7373,-0.7373,1.2873
BCS3__Cow_22,170.9117,170.1815,170.5215,0.7303,-0.7303,0.3903
BCS3__Cow_25_66,162.6205,161.8914,163.0467,0.7292,-0.7292,0.4262
