bcs_raw,anatomical_phase,count
2,entry_or_trunk_with_rump,594
2,head_neck_trunk,81
2,trunk_dominant,23
2,trunk_head_neck_reversed,60
3,entry_or_trunk_with_rump,43
3,head_neck_trunk,215
3,trunk_dominant,20
3,trunk_head_neck_reversed,54
4,entry_or_trunk_with_rump,311
4,head_neck_trunk,240
4,trunk_dominant,104
4,trunk_head_neck_reversed,228
5,entry_or_trunk_with_rump,227
5,head_neck_trunk,195
5,invalid,2
5,trunk_dominant,80
5,trunk_head_neck_reversed,178
6,entry_or_trunk_with_rump,75
6,head_neck_trunk,343
6,trunk_dominant,204
6,trunk_head_neck_reversed,538
