bcs_raw,is_good_angle_frame,bag_id,frame_key,bad_reasons,frame_angle_median,figure_path
2,1,BCS2__Cow_21_8029,105,,160.5571746826172,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good1_001_BCS2__Cow_21_8029_105.png
2,1,BCS2__Cow_11,7065,,170.45132446289062,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good1_002_BCS2__Cow_11_7065.png
2,1,BCS2__Cow_11,3285,,171.75390625,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good1_003_BCS2__Cow_11_3285.png
2,1,BCS2__Cow_11,5040,,172.83694458007812,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good1_004_BCS2__Cow_11_5040.png
2,1,BCS2__Cow_11_1,390,,174.43873596191406,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good1_005_BCS2__Cow_11_1_390.png
2,0,BCS2__Cow_11,1005,too_few_valid_profiles,171.7676544189453,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good0_006_BCS2__Cow_11_1005.png
2,0,BCS2__Cow_11,3420,too_few_valid_profiles,173.4219512939453,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good0_007_BCS2__Cow_11_3420.png
2,0,BCS2__Cow_11,5715,too_few_valid_profiles,173.27398681640625,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good0_008_BCS2__Cow_11_5715.png
2,0,BCS2__Cow_11_1,450,short_trunk_plateau;too_few_valid_profiles,172.8538055419922,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good0_009_BCS2__Cow_11_1_450.png
2,0,BCS2__Cow_5_1,343,short_trunk_plateau;too_few_valid_profiles,171.4741668701172,03_quality_controlled_dorsal_angle\debug_profiles\BCS2_good0_010_BCS2__Cow_5_1_343.png
3,1,BCS3__Cow_2_1015,1035,,153.0401611328125,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good1_011_BCS3__Cow_2_1015_1035.png
3,1,BCS3__Cow_8_2023,450,,163.05368041992188,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good1_012_BCS3__Cow_8_2023_450.png
3,1,BCS3__Cow_16,855,,167.166259765625,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good1_013_BCS3__Cow_16_855.png
3,1,BCS3__Cow_20_0029,120,,170.43463134765625,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good1_014_BCS3__Cow_20_0029_120.png
3,1,BCS3__Cow_46_1,270,,175.4572296142578,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good1_015_BCS3__Cow_46_1_270.png
3,0,BCS3__Cow_12,0,short_trunk_plateau,173.50872802734375,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good0_016_BCS3__Cow_12_0.png
3,0,BCS3__Cow_16,720,too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good0_017_BCS3__Cow_16_720.png
3,0,BCS3__Cow_22,630,short_trunk_plateau;too_few_valid_profiles,170.27894592285156,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good0_018_BCS3__Cow_22_630.png
3,0,BCS3__Cow_46,780,short_trunk_plateau,170.17083740234375,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good0_019_BCS3__Cow_46_780.png
3,0,BCS3__Cow_8_2023,525,too_few_valid_profiles;no_valid_angle,,03_quality_controlled_dorsal_angle\debug_profiles\BCS3_good0_020_BCS3__Cow_8_2023_525.png
4,1,BCS4__Cow_33,555,,139.07327270507812,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good1_021_BCS4__Cow_33_555.png
4,1,BCS4__Cow_5_1018,345,,167.12796020507812,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good1_022_BCS4__Cow_5_1018_345.png
4,1,BCS4__Cow_19,705,,169.79261779785156,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good1_023_BCS4__Cow_19_705.png
4,1,BCS4__Cow_19,120,,171.48873901367188,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good1_024_BCS4__Cow_19_120.png
4,1,BCS4__Cow_33,285,,175.49855041503906,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good1_025_BCS4__Cow_33_285.png
4,0,BCS4__Cow_1,120,too_few_valid_profiles,174.34022521972656,03_quality_controlled_dorsal_angle\debug_profiles\BCS4_good0_026_BCS4__Cow_1_120.png
