metric,mean,std
acc3_final,0.8154160654160654,0.05906215365282578
acc5,0.5234487734487735,0.09698282159686046
attn_entropy_mean,2.4569482952141315,0.023900662370090326
attn_entropy_std,0.07266032328086786,0.06273382655107766
balanced_acc5,0.4627705627705628,0.06138796787361043
bcs2_to_bcs6_errors,0.6666666666666666,0.5773502691896258
bcs6_to_bcs2_or_3_errors,0.3333333333333333,0.5773502691896258
eligible_test_bags,37.0,4.58257569495584
fold_id,1.0,1.0
high_branch_pr_auc,0.9834656084656084,0.01591429816867197
high_branch_precision,0.5916666666666667,0.5125508104893927
high_branch_recall,0.6666666666666666,0.5773502691896258
high_branch_roc_auc,0.9948844259189086,0.004937026987796652
high_branch_specificity,0.9770784770784772,0.020265425572253252
high_precision_final,0.9249999999999999,0.06614378277661476
high_recall_final,0.9047619047619048,0.1649572197684645
high_to_lean_errors,0.3333333333333333,0.5773502691896258
lean_precision_final,0.3333333333333333,0.2886751345948129
lean_recall_final,0.4444444444444445,0.41943524640393054
lean_to_high_errors,0.6666666666666666,0.5773502691896258
low_pr_auc,0.46934337759286165,0.1106143467292675
low_precision,0.2222222222222222,0.3849001794597505
low_recall,0.16666666666666666,0.2886751345948129
low_roc_auc,0.8065656565656566,0.054435448367544596
low_specificity,0.9672936259143157,0.002159245383466227
macro_f1_3_final,0.718807516206537,0.107809612292704
macro_f1_5,0.4075311467073481,0.10239096598422663
mae_bcs,0.639009139009139,0.07524506545537776
qwk3_final,0.6279346153473923,0.06887024692939117
qwk5,0.4799501546711172,0.04656402744643258
raw_test_bags,50.333333333333336,0.5773502691896258
test_coverage,0.7345098039215686,0.0827246513163365
weighted_f1_3_final,0.7925472915119998,0.10132677774628772
weighted_f1_5,0.4653503360215793,0.1290154820767296
within_one_acc,0.9022366522366522,0.018817895174235166
