metric,mean,std
acc3_final,0.695686274509804,0.09040725491705759
acc5,0.4763398692810457,0.06294249993518275
attn_entropy_mean,2.4689442521918052,0.014137406534484172
attn_entropy_std,0.060709610539659085,0.050972330997313145
balanced_acc5,0.43718487394957983,0.06809028179831883
bcs2_to_bcs6_errors,1.0,1.0
bcs6_to_bcs2_or_3_errors,0.3333333333333333,0.5773502691896258
eligible_test_bags,50.333333333333336,0.5773502691896258
fold_id,1.0,1.0
high_branch_pr_auc,0.43918465565861453,0.4713971947326923
high_branch_precision,0.32962962962962966,0.49595068120660996
high_branch_recall,0.5238095238095238,0.5016977977548923
high_branch_roc_auc,0.43739746113777117,0.5003593606238698
high_branch_specificity,0.666297526762643,0.5367503333163797
high_precision_final,0.8384615384615385,0.19955571955496687
high_recall_final,0.7619047619047619,0.4123930494211613
high_to_lean_errors,0.3333333333333333,0.5773502691896258
lean_precision_final,0.40959282263630087,0.23242951350178434
lean_recall_final,0.551948051948052,0.15597937856447164
lean_to_high_errors,1.0,1.0
low_pr_auc,0.23939076423024408,0.0256534925109117
low_precision,0.16444444444444442,0.1667111051867649
low_recall,0.48484848484848486,0.5006882315714638
low_roc_auc,0.5589455602536998,0.017889605127333837
low_specificity,0.5755813953488372,0.5111982868518434
macro_f1_3_final,0.6379738620533305,0.0500627254941873
macro_f1_5,0.36420209019280225,0.06393739099878758
mae_bcs,0.7422222222222222,0.08877770824639192
qwk3_final,0.48531325155055965,0.09586264672395674
qwk5,0.41966179437465795,0.12187560814709338
raw_test_bags,50.333333333333336,0.5773502691896258
test_coverage,1.0,0.0
weighted_f1_3_final,0.7020915982707826,0.060418158127189966
weighted_f1_5,0.38712090106080277,0.09468610991309377
within_one_acc,0.8411764705882353,0.033668442402951054
