variant,seed,bin,lower,upper,n,accuracy,mean_confidence
V,2026,2,0.2,0.3,27,0.4074074074074074,0.2403381980141083
V,2026,3,0.3,0.4,5,0.6,0.36559361247623123
V,2026,4,0.4,0.5,15,0.2,0.46268121938600165
V,2026,5,0.5,0.6,28,0.5357142857142857,0.5417402575340804
V,2026,6,0.6,0.7,10,0.5,0.6190083641587816
V,2026,7,0.7,0.8,7,0.8571428571428571,0.760158344559539
V,2026,8,0.8,0.9,2,1.0,0.8660890642138497
V,2026,9,0.9,1.0,17,0.8235294117647058,0.9547950612810072
V,2027,2,0.2,0.3,1,0.0,0.29572286320558605
V,2027,3,0.3,0.4,29,0.41379310344827586,0.36644169751050915
V,2027,4,0.4,0.5,14,0.42857142857142855,0.4614627700017765
V,2027,5,0.5,0.6,19,0.3684210526315789,0.5299024555450496
V,2027,6,0.6,0.7,13,0.46153846153846156,0.6538362683785098
V,2027,7,0.7,0.8,8,0.75,0.7518900775470687
V,2027,8,0.8,0.9,8,0.875,0.859963331935052
V,2027,9,0.9,1.0,19,0.8421052631578947,0.9629386139504689
V,2028,2,0.2,0.3,21,0.42857142857142855,0.2771536275796569
V,2028,3,0.3,0.4,15,0.5333333333333333,0.34774698748269356
V,2028,4,0.4,0.5,14,0.42857142857142855,0.4640999576521304
V,2028,5,0.5,0.6,29,0.6206896551724138,0.5496787834956222
V,2028,6,0.6,0.7,8,0.75,0.6304684518238255
V,2028,7,0.7,0.8,2,1.0,0.7257206971174793
V,2028,8,0.8,0.9,5,0.2,0.8531219019493388
V,2028,9,0.9,1.0,17,0.8823529411764706,0.9849666326705055
VA,2026,2,0.2,0.3,1,1.0,0.276797941088523
VA,2026,3,0.3,0.4,11,0.5454545454545454,0.35465217631603035
VA,2026,4,0.4,0.5,21,0.42857142857142855,0.4530905321337534
VA,2026,5,0.5,0.6,36,0.4166666666666667,0.5432617498050895
VA,2026,6,0.6,0.7,8,0.875,0.6372239618258937
VA,2026,7,0.7,0.8,2,1.0,0.7086892574584551
VA,2026,8,0.8,0.9,5,0.6,0.8769754181508294
VA,2026,9,0.9,1.0,27,0.8148148148148148,0.9567229090958704
VA,2027,3,0.3,0.4,15,0.13333333333333333,0.3642943847811459
VA,2027,4,0.4,0.5,23,0.5217391304347826,0.43782147910981534
VA,2027,5,0.5,0.6,17,0.4117647058823529,0.5327143909328701
VA,2027,6,0.6,0.7,15,0.5333333333333333,0.6491491576144307
VA,2027,7,0.7,0.8,11,0.8181818181818182,0.742309931756057
VA,2027,8,0.8,0.9,6,0.8333333333333334,0.8500617346408466
VA,2027,9,0.9,1.0,24,0.7916666666666666,0.9593961226356429
VA,2028,2,0.2,0.3,22,0.4090909090909091,0.2823215443746227
VA,2028,3,0.3,0.4,7,0.2857142857142857,0.3688869001512932
VA,2028,4,0.4,0.5,7,0.42857142857142855,0.4670903104155502
VA,2028,5,0.5,0.6,32,0.6875,0.552752272137764
