variant,seed,fold_id,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
V,2026,0,42,0.6428571428571429,0.6637806637806638,0.825,0.38095238095238093,0.9761904761904762,0.8151260504201682,0
V,2026,1,36,0.3611111111111111,0.32535612535612535,0.5551768214742224,0.8888888888888888,0.8333333333333334,0.7307692307692308,1
V,2026,2,33,0.5757575757575758,0.49356492969396193,0.3802816901408451,0.6060606060606061,0.9090909090909091,0.8197691197691198,1
V,2027,0,42,0.5714285714285714,0.4506858054226475,0.5096004151530877,0.5952380952380952,0.8809523809523809,0.7162087608959505,1
V,2027,1,36,0.4722222222222222,0.37252525252525254,0.5571808510638296,0.6388888888888888,0.9444444444444444,0.774074074074074,1
V,2027,2,33,0.5757575757575758,0.44499999999999995,0.34328358208955223,0.6666666666666666,0.8787878787878788,0.7608465608465608,1
V,2028,0,42,0.6666666666666666,0.6866666666666666,0.8376534788540245,0.35714285714285715,0.9761904761904762,0.8472222222222222,0
V,2028,1,36,0.5,0.46446886446886443,0.5736842105263158,0.6944444444444444,0.8611111111111112,0.7497975708502024,1
V,2028,2,33,0.5757575757575758,0.4607142857142857,0.3569230769230769,0.7575757575757576,0.7878787878787878,0.6276455026455027,1
VA,2026,0,42,0.6190476190476191,0.6462812549769071,0.8153632577510412,0.40476190476190477,0.9761904761904762,0.8151260504201682,0
VA,2026,1,36,0.5555555555555556,0.4438095238095238,0.6028552887735237,0.5555555555555556,0.9444444444444444,0.8192696192696193,1
VA,2026,2,33,0.5757575757575758,0.4470695970695971,0.27459459459459457,0.7575757575757576,0.8181818181818182,0.6801587301587301,2
VA,2027,0,42,0.5476190476190477,0.4272009569377991,0.5409252669039146,0.5952380952380952,0.9047619047619048,0.7004048582995951,1
VA,2027,1,36,0.6666666666666666,0.6228571428571429,0.8003696857670979,0.3888888888888889,0.9444444444444444,0.8744588744588745,0
VA,2027,2,33,0.45454545454545453,0.3553939393939394,0.32842105263157895,0.8484848484848485,0.8181818181818182,0.6586014586014587,1
VA,2028,0,42,0.6666666666666666,0.6846491228070175,0.8405538186690487,0.35714285714285715,0.9761904761904762,0.8275475923852184,0
VA,2028,1,36,0.4444444444444444,0.3873992673992674,0.5773195876288659,0.6944444444444444,0.9166666666666666,0.7497975708502024,1
VA,2028,2,33,0.6060606060606061,0.5241379310344827,0.4775725593667546,0.5454545454545454,0.9393939393939394,0.8197691197691198,1
VAQ,2026,0,42,0.6666666666666666,0.6666666666666667,0.8060941828254847,0.38095238095238093,0.9523809523809523,0.8151260504201682,0
VAQ,2026,1,36,0.6388888888888888,0.62,0.8131083711875405,0.3888888888888889,0.9722222222222222,0.859903381642512,0
VAQ,2026,2,33,0.5757575757575758,0.4608147606868835,0.2838847385272145,0.7575757575757576,0.8181818181818182,0.6801587301587301,2
VAQ,2027,0,42,0.6428571428571429,0.5234736842105263,0.685,0.42857142857142855,0.9761904761904762,0.7681704260651628,1
VAQ,2027,1,36,0.4444444444444444,0.33078431372549016,0.5343771272974813,0.6666666666666666,0.9444444444444444,0.7221783047870005,1
VAQ,2027,2,33,0.48484848484848486,0.41655172413793107,0.30996309963099633,0.7575757575757576,0.8787878787878788,0.7608465608465608,1
VAQ,2028,0,42,0.6428571428571429,0.6632880844645551,0.8066637439719421,0.40476190476190477,0.9523809523809523,0.8086956521739129,0
VAQ,2028,1,36,0.4722222222222222,0.4489010989010989,0.5328389830508474,0.75,0.8333333333333334,0.7733488733488733,1
VAQ,2028,2,33,0.6060606060606061,0.5241379310344827,0.4775725593667546,0.5454545454545454,0.9393939393939394,0.8197691197691198,1
VQ,2026,0,42,0.6666666666666666,0.6655500821018062,0.7771112136594369,0.40476190476190477,0.9285714285714286,0.8151260504201682,0
VQ,2026,1,36,0.5555555555555556,0.4488274449564772,0.5577689243027888,0.5833333333333334,0.9166666666666666,0.774074074074074,1
VQ,2026,2,33,0.5757575757575758,0.44499999999999995,0.3989071038251366,0.6060606060606061,0.9090909090909091,0.7878552971576228,1
