variant,seed,acc5_mean,acc5_std,macro_f1_5_mean,macro_f1_5_std,qwk5_mean,qwk5_std,mae_bcs_mean,mae_bcs_std,within_one_acc_mean,within_one_acc_std,macro_f1_3_mean,macro_f1_3_std
V,2026,0.5265752765752766,0.14717126253383123,0.494233906276917,0.1692132610028448,0.5868195038716891,0.22404137629682613,0.6253006253006252,0.2545142584983222,0.9062049062049061,0.07147228536866608,0.7885548003195062,0.05009759035554588
V,2027,0.5398027898027898,0.058566499857033306,0.4227370193159667,0.0435774969337369,0.4700216161021566,0.11230704082736348,0.6335978835978836,0.03600703065824386,0.9013949013949013,0.03729770281110995,0.7503764652721951,0.030320220865007585
V,2028,0.5808080808080808,0.08344803859524393,0.5372832722832722,0.1293834344247155,0.5894202554344724,0.24075121425900695,0.6030543530543531,0.2152922166277574,0.875060125060125,0.0949276262808249,0.7415550985726425,0.11002016954610229
VA,2026,0.5834535834535836,0.03243812467549276,0.5123867919520094,0.11596746285471432,0.5642710470397199,0.27244126806640745,0.5726310726310726,0.17702565815973106,0.9129389129389129,0.08358308972518771,0.7715181332828392,0.07914668467533961
VA,2027,0.5562770562770563,0.10632531680359422,0.46848401306296045,0.13842817395304566,0.5565720017675305,0.23636305403666705,0.6108706108706109,0.23019642303472782,0.8891293891293891,0.06456658854573737,0.744488397119976,0.11448198457118204
VA,2028,0.5723905723905723,0.11487354955711773,0.5320621070802559,0.14878327714997205,0.6318153218882231,0.18752649796900617,0.5323472823472823,0.16903236512178618,0.9440836940836941,0.030037748323472023,0.7990380943348468,0.04282053273654143
VAQ,2026,0.627104377104377,0.04658617542768245,0.5824938091178501,0.10792954908060891,0.6343624308467466,0.3035428459374608,0.5091390091390091,0.2151891273273925,0.9142616642616642,0.08379690694932418,0.78506272074047,0.09356755729326924
VAQ,2027,0.5240500240500241,0.10485451935743867,0.4236032406913159,0.09653803027178914,0.5097800756428259,0.18872448270474568,0.6176046176046176,0.16990078169191095,0.9331409331409332,0.04967538143823928,0.7503984305662413,0.024712170578121875
VAQ,2028,0.5737133237133237,0.08979882539021612,0.5454423714667123,0.10876973053816126,0.605691762129848,0.17622683538797843,0.5667388167388167,0.17360040539694566,0.9083694083694084,0.06530677640333979,0.8006045484306353,0.024244778598029388
VQ,2026,0.5993265993265994,0.059186517950326416,0.5197925090194278,0.12624426686734086,0.5779290805957874,0.18990632190690088,0.5313852813852814,0.11024627822304965,0.918109668109668,0.009820099270430222,0.7923518072172883,0.02089210718232063
VQ,2027,0.5218855218855218,0.12548582595006214,0.4566106442577031,0.18309893363852384,0.5345835852834829,0.2714074274432596,0.6320346320346321,0.2356823824903239,0.905002405002405,0.07529347754925288,0.7509869736212448,0.05564170333288701
VQ,2028,0.5868205868205868,0.129310428795814,0.5666270283661589,0.1563303387784085,0.6065970523230821,0.18801695729836926,0.5557960557960558,0.19636796772378365,0.9062049062049061,0.07147228536866608,0.8006045484306353,0.024244778598029388
V_mean,2026,0.5323472823472823,0.1650732841374204,0.47750829815345935,0.1776895035988623,0.5345074021785835,0.22690213569220252,0.682058682058682,0.27015007807477376,0.8537758537758537,0.06708534245930213,0.7498084543667328,0.06956063477162262
V_mean,2027,0.4455266955266955,0.17165311900310626,0.3544906897793146,0.11394627112709997,0.4579994656201636,0.094334759486607,0.7754930254930255,0.231964539109383,0.8537758537758537,0.06708534245930213,0.6776091688489848,0.10784860363912985
V_mean,2028,0.5021645021645021,0.139622973358183,0.42623481781376515,0.1396708523518967,0.4976523723323987,0.22325347681507424,0.7358104858104858,0.30621529616037135,0.857022607022607,0.09746693223875344,0.7153497431361209,0.10954904202850335
V_single,2026,0.5019240019240019,0.09874900045301939,0.45709209097667153,0.18175794032389597,0.554895326865482,0.21844385565461,0.6511544011544012,0.15194872000280696,0.8873256373256373,0.056692161183770004,0.7440092551569274,0.02639024446419778
V_single,2027,0.506012506012506,0.09802147818417538,0.41782322711115283,0.2018110246665016,0.5598598099670715,0.24474607846680188,0.6298701298701298,0.20915184685581034,0.8944203944203943,0.07914942935048913,0.6450437947587161,0.1347431036731628
V_single,2028,0.468013468013468,0.06894139807893356,0.3564124342986132,0.05651152394983659,0.4223423613381741,0.14557215557890804,0.7472342472342471,0.021768925467779945,0.841029341029341,0.051989788695700194,0.6971977601376772,0.0778969888505943
