variant,seed,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
V,2026,111,0.5315315315315315,0.5208848015154081,0.6187825675035528,0.6126126126126126,0.9099099099099099,0.7885375494071146,2
V,2027,111,0.5405405405405406,0.4574924757781901,0.4811965197382613,0.6306306306306306,0.9009009009009009,0.749577406720264,3
V,2028,111,0.5855855855855856,0.5483092418636849,0.6035357325089294,0.5855855855855856,0.8828828828828829,0.7508085824126036,2
VA,2026,111,0.5855855855855856,0.5257847671908726,0.5836952230556651,0.5585585585585585,0.918918918918919,0.7773867292344336,3
VA,2027,111,0.5585585585585585,0.48346405228758177,0.5571462098099038,0.6036036036036037,0.8918918918918919,0.7464876622450435,2
VA,2028,111,0.5765765765765766,0.5251062219894069,0.6578567681007346,0.5225225225225225,0.9459459459459459,0.8015095081806001,2
VAQ,2026,111,0.6306306306306306,0.5886204411562277,0.6457174821493206,0.4954954954954955,0.918918918918919,0.7890603930193892,2
VAQ,2027,111,0.5315315315315315,0.45451595976816267,0.52994555353902,0.6036036036036037,0.9369369369369369,0.7530441211358835,3
VAQ,2028,111,0.5765765765765766,0.5508129732187916,0.6278466599190283,0.5585585585585585,0.9099099099099099,0.8028491084947932,2
VQ,2026,111,0.6036036036036037,0.5532157953281425,0.6107994389901823,0.5225225225225225,0.918918918918919,0.7964616075929944,2
VQ,2027,111,0.5315315315315315,0.49520388254804415,0.5629031163011745,0.6126126126126126,0.9099099099099099,0.7597103513770181,2
VQ,2028,111,0.5855855855855856,0.5597393610886865,0.6307151230949589,0.5495495495495496,0.9099099099099099,0.8028491084947932,2
V_mean,2026,111,0.5405405405405406,0.5141047471620228,0.5663080407701019,0.6666666666666666,0.8558558558558559,0.7574103237095363,2
V_mean,2027,111,0.45045045045045046,0.370710233029382,0.47241728251203596,0.7657657657657657,0.8558558558558559,0.6950044132192549,3
V_mean,2028,111,0.5135135135135135,0.45763806879475455,0.49409237379162196,0.7117117117117117,0.8648648648648649,0.7208738781399299,4
V_single,2026,111,0.5045045045045045,0.4782257543451573,0.5878216292596365,0.6396396396396397,0.8918918918918919,0.7561606035290246,1
V_single,2027,111,0.5135135135135135,0.46743566487256294,0.5919117647058824,0.6126126126126126,0.9009009009009009,0.6839341013254057,1
V_single,2028,111,0.46846846846846846,0.3966927899686521,0.42389577375278054,0.7477477477477478,0.8378378378378378,0.7044201412622466,2
