variant,seed,n_full_eligible,n_both_halves_eligible,paired_fraction_of_full_eligible,paired_fraction_of_all_episodes,exact_half_agreement,within_one_half_agreement,mean_absolute_half_bcs_difference,first_n,first_acc5,first_macro_f1_5,first_qwk5,first_mae_bcs,first_within_one_acc,first_macro_f1_3,first_extreme_lean_high,second_n,second_acc5,second_macro_f1_5,second_qwk5,second_mae_bcs,second_within_one_acc,second_macro_f1_3,second_extreme_lean_high,full_matched_n,full_matched_acc5,full_matched_macro_f1_5,full_matched_qwk5,full_matched_mae_bcs,full_matched_within_one_acc,full_matched_macro_f1_3,full_matched_extreme_lean_high,agreement_ci_low,agreement_ci_high
V,2026,111,59,0.5315315315315315,0.39072847682119205,0.9152542372881356,1.0,0.0847457627118644,59,0.559322033898305,0.448878564976126,0.6750688413471722,0.5423728813559322,0.9491525423728814,0.748859166011015,1,59,0.5423728813559322,0.43539972899728996,0.6262214109309567,0.5932203389830508,0.9152542372881356,0.748859166011015,1,59,0.5423728813559322,0.4358046401780632,0.6468576314664386,0.576271186440678,0.9322033898305084,0.748859166011015,1,0.8421052631578947,0.9827586206896551
V,2027,111,59,0.5315315315315315,0.39072847682119205,0.9491525423728814,0.9830508474576272,0.0847457627118644,59,0.576271186440678,0.4208033826638478,0.5875194199896427,0.5423728813559322,0.9322033898305084,0.7868608566282985,1,59,0.6101694915254238,0.44642857142857145,0.7177763413057531,0.4576271186440678,0.9491525423728814,0.8739635157545605,0,59,0.6101694915254238,0.46177740863787375,0.5966342361293715,0.5084745762711864,0.9322033898305084,0.8106560222145088,1,0.8947169059011164,1.0
V,2028,111,59,0.5315315315315315,0.39072847682119205,0.864406779661017,0.9830508474576272,0.15254237288135594,59,0.6440677966101694,0.5121111985313401,0.6886214903947646,0.4745762711864407,0.9322033898305084,0.7343562574970012,1,59,0.5932203389830508,0.41327188940092163,0.6534412058073811,0.5254237288135594,0.9322033898305084,0.7349466562581316,1,59,0.6101694915254238,0.4849070395677737,0.6601738401926903,0.5254237288135594,0.9152542372881356,0.7202380952380952,1,0.7796610169491526,0.943422431865828
VAQ,2026,111,59,0.5315315315315315,0.39072847682119205,0.9491525423728814,1.0,0.05084745762711865,59,0.6101694915254238,0.48956639566395665,0.6885033940308156,0.4915254237288136,0.9491525423728814,0.7643566911859594,1,59,0.6440677966101694,0.5332416093391703,0.6646965219368037,0.4745762711864407,0.9322033898305084,0.7494456762749445,1,59,0.6440677966101694,0.5226073313364712,0.6904788480857238,0.4576271186440678,0.9491525423728814,0.7995622263914948,1,0.8939123376623377,1.0
VAQ,2027,111,59,0.5315315315315315,0.39072847682119205,0.9830508474576272,1.0,0.01694915254237288,59,0.5932203389830508,0.4124916943521595,0.6414996767937944,0.4915254237288136,0.9661016949152542,0.7666070363744782,1,59,0.6101694915254238,0.4309043927648578,0.6416688671771851,0.4745762711864407,0.9661016949152542,0.7868608566282985,1,59,0.5932203389830508,0.4124916943521595,0.6414996767937944,0.4915254237288136,0.9661016949152542,0.7666070363744782,1,0.9473684210526315,1.0
VAQ,2028,111,59,0.5315315315315315,0.39072847682119205,0.9322033898305084,1.0,0.06779661016949153,59,0.5932203389830508,0.44667004390408654,0.6326121372031661,0.559322033898305,0.8983050847457628,0.7064102564102565,1,59,0.576271186440678,0.34043859649122804,0.6191824255463707,0.559322033898305,0.9152542372881356,0.6658299412030755,1,59,0.6271186440677966,0.4720756992258918,0.6873766233766233,0.4915254237288136,0.9322033898305084,0.7643566911859594,1,0.864406779661017,0.9836065573770492
V_mean,2026,111,59,0.5315315315315315,0.39072847682119205,0.864406779661017,0.9830508474576272,0.1864406779661017,59,0.5932203389830508,0.47079877112135177,0.5581866019024488,0.6101694915254238,0.8813559322033898,0.718466730954677,2,59,0.576271186440678,0.45708082567838665,0.6107445805843543,0.5932203389830508,0.8813559322033898,0.7206280886338275,1,59,0.559322033898305,0.44892255892255883,0.589724961079398,0.6271186440677966,0.864406779661017,0.6944444444444443,1,0.7626255492780917,0.95
V_mean,2027,111,59,0.5315315315315315,0.39072847682119205,0.9152542372881356,0.9830508474576272,0.13559322033898305,59,0.4915254237288136,0.3821428571428571,0.5046693708140741,0.7627118644067796,0.8305084745762712,0.6575757575757576,2,59,0.4915254237288136,0.31627579737335837,0.5756255698510789,0.6949152542372882,0.864406779661017,0.6948342260192112,1,59,0.4915254237288136,0.3181219512195122,0.564792663476874,0.711864406779661,0.847457627118644,0.6825131935529881,1,0.84375,0.9818181818181818
V_mean,2028,111,59,0.5315315315315315,0.39072847682119205,0.9152542372881356,0.9830508474576272,0.1016949152542373,59,0.576271186440678,0.42666666666666664,0.5884518504165859,0.6101694915254238,0.8983050847457628,0.7055555555555556,2,59,0.559322033898305,0.4133333333333333,0.5998837434605696,0.6101694915254238,0.9152542372881356,0.7055555555555556,2,59,0.5423728813559322,0.39999999999999997,0.5770199573726023,0.6440677966101694,0.8983050847457628,0.7055555555555556,2,0.8448275862068966,0.9692307692307692
V_single,2026,111,59,0.5315315315315315,0.39072847682119205,0.9152542372881356,0.9661016949152542,0.11864406779661017,59,0.5423728813559322,0.44936405063847806,0.5897263346792283,0.6101694915254238,0.8983050847457628,0.6793134598012647,1,59,0.5084745762711864,0.3677029422190713,0.5406159209761767,0.6610169491525424,0.8813559322033898,0.6930846930846931,1,59,0.5084745762711864,0.3628894403087951,0.5660664468678671,0.6440677966101694,0.864406779661017,0.6703661181273123,0,0.8447853279242732,0.9821428571428571
