variant,frame_count,metric,estimate,ci_low,ci_high,n_episodes,valid_bootstrap
V,1,repeat_agreement_with_reference,0.8980180180180181,0.8709024186822355,0.9234556405640565,111,2000
V,1,modal_consistency,0.9163963963963964,0.8954252271139068,0.9366690938511332,111,2000
V,1,mean_abs_bcs_change,0.13909909909909912,0.0968297064777328,0.18409858957593866,111,2000
V,1,expected_bcs_sd,0.10637856639208819,0.07987305360122816,0.1370009541732543,111,2000
V,1,mean_total_variation,0.05483178094192158,0.04050931867486971,0.07086368699158069,111,2000
V,1,repeated_accuracy,0.5288288288288289,0.47057031810571615,0.5874989648033125,111,2000
V,1,mean_unique_frames,1.0,1.0,1.0,111,2000
V,3,repeat_agreement_with_reference,0.9394594594594595,0.9186380341177117,0.9597777777777777,111,2000
V,3,modal_consistency,0.9687087087087087,0.958069570477919,0.9791593468468468,111,2000
V,3,mean_abs_bcs_change,0.07291291291291292,0.04787831454643049,0.09844968578794715,111,2000
V,3,expected_bcs_sd,0.040475490215187995,0.02851707057475514,0.05386217736686302,111,2000
V,3,mean_total_variation,0.02826574649183703,0.021717869387264423,0.036263361705359494,111,2000
V,3,repeated_accuracy,0.5348348348348348,0.4716552359882008,0.5978453058321478,111,2000
V,3,mean_unique_frames,3.0,3.0,3.0,111,2000
V,6,repeat_agreement_with_reference,0.9538138138138138,0.9369984709480125,0.9697126847290641,111,2000
V,6,modal_consistency,0.9718318318318319,0.9635086232530481,0.9801357379100741,111,2000
V,6,mean_abs_bcs_change,0.052132132132132136,0.033651630434782615,0.07146423169993947,111,2000
V,6,expected_bcs_sd,0.030435294067424054,0.024029348392724522,0.03750494778586157,111,2000
V,6,mean_total_variation,0.024131152577955665,0.018392687721155605,0.03139783405585001,111,2000
V,6,repeated_accuracy,0.542042042042042,0.4776914386584289,0.6066080246913582,111,2000
V,6,mean_unique_frames,4.904864864864865,4.69231969916345,5.1264880688124315,111,2000
V,12,repeat_agreement_with_reference,0.9544744744744744,0.9359462659380695,0.9719298896423351,111,2000
V,12,modal_consistency,0.976936936936937,0.9688135101940557,0.9849689502145417,111,2000
V,12,mean_abs_bcs_change,0.050630630630630634,0.030935269207501514,0.07171461352657002,111,2000
V,12,expected_bcs_sd,0.022649264588269796,0.017687499507905984,0.02821043271636295,111,2000
V,12,mean_total_variation,0.021522647916355823,0.016025562212048722,0.028495464772066326,111,2000
V,12,repeated_accuracy,0.5443843843843843,0.4793407557354926,0.6104142021720969,111,2000
V,12,mean_unique_frames,7.830990990990991,7.202803066037736,8.478942076265044,111,2000
VAQ,1,repeat_agreement_with_reference,0.9024624624624624,0.871511330698287,0.9311305189487006,111,2000
VAQ,1,modal_consistency,0.9204804804804806,0.8998138777152052,0.9403604422604421,111,2000
VAQ,1,mean_abs_bcs_change,0.11663663663663665,0.07828773584905659,0.15840814081408136,111,2000
VAQ,1,expected_bcs_sd,0.09947292131666911,0.07198453183669155,0.13084042743554547,111,2000
VAQ,1,mean_total_variation,0.056034455585395514,0.03963197141233869,0.07407547553644232,111,2000
VAQ,1,repeated_accuracy,0.5523123123123124,0.4862628310844581,0.6244854469330106,111,2000
VAQ,1,mean_unique_frames,1.0,1.0,1.0,111,2000
VAQ,3,repeat_agreement_with_reference,0.9452252252252252,0.9229644200626957,0.9657499490316,111,2000
VAQ,3,modal_consistency,0.9723723723723724,0.9575643585614598,0.9852633610018932,111,2000
VAQ,3,mean_abs_bcs_change,0.06108108108108109,0.0377326201606137,0.08643172380215941,111,2000
VAQ,3,expected_bcs_sd,0.039980992749712445,0.0256648414062604,0.056280016076488554,111,2000
VAQ,3,mean_total_variation,0.027295265410872557,0.020377477937747107,0.03534719783019584,111,2000
VAQ,3,repeated_accuracy,0.5673273273273273,0.4988471003134798,0.6434863668978711,111,2000
VAQ,3,mean_unique_frames,3.0,3.0,3.0,111,2000
VAQ,6,repeat_agreement_with_reference,0.9563963963963964,0.9389344070961718,0.9724404761904762,111,2000
VAQ,6,modal_consistency,0.978018018018018,0.968906749311295,0.9867296375864002,111,2000
VAQ,6,mean_abs_bcs_change,0.04816816816816817,0.029738076416337286,0.06716687853107345,111,2000
VAQ,6,expected_bcs_sd,0.026720450248582234,0.020639933852438643,0.033342171808452926,111,2000
VAQ,6,mean_total_variation,0.020945085721337197,0.016160240983948467,0.02642010056382461,111,2000
VAQ,6,repeated_accuracy,0.5703303303303304,0.5013892543859649,0.6458226583720318,111,2000
VAQ,6,mean_unique_frames,4.904864864864865,4.69231969916345,5.1264880688124315,111,2000
VAQ,12,repeat_agreement_with_reference,0.9601801801801801,0.9436950626959246,0.9752752097832003,111,2000
VAQ,12,modal_consistency,0.9851651651651651,0.9777772585669781,0.992171777281869,111,2000
