contrast,metric,estimate,ci_low,ci_high,valid_bootstrap,n_animals,n_episodes,n_seeds,positive_is_better
angle_given_quality,acc5,0.006006006006006093,-0.021812646430318373,0.03703703703703698,2000,52,111,3,True
angle_given_quality,macro_f1_5,-0.0047365549405637974,-0.06194979853553059,0.03971224375528036,2000,52,111,3,True
angle_given_quality,qwk5,-0.00030266092631558994,-0.08019203243772619,0.06380573790604721,2000,52,111,3,True
angle_given_quality,mae_bcs,-0.009009009009009028,-0.057582644628099214,0.04167605105105107,2000,52,111,3,False
angle_without_quality,acc5,0.02102102102102088,-0.02494009106158639,0.06730850168350176,2000,52,111,3,True
angle_without_quality,macro_f1_5,0.0025561741035260432,-0.0431646413805423,0.055608402414839185,2000,52,111,3,True
angle_without_quality,qwk5,0.03172779373851997,-0.01839745497334164,0.0890559603384131,2000,52,111,3,True
angle_without_quality,mae_bcs,-0.048048048048048075,-0.11221122112211213,0.0121212121212122,2000,52,111,3,False
quality_given_angle,acc5,0.006006006006006093,-0.02469135802469125,0.0367137245597385,2000,52,111,3,True
quality_given_angle,macro_f1_5,0.019864777558440183,-0.013316554648828862,0.04992592491694973,2000,52,111,3,True
quality_given_angle,qwk5,0.0016038315470219278,-0.027218695954936638,0.03419936996924591,2000,52,111,3,True
quality_given_angle,mae_bcs,-0.009009009009009028,-0.046668224299065385,0.02608695652173909,2000,52,111,3,False
quality_without_angle,acc5,0.02102102102102088,-0.02615391289259068,0.06918238993710679,2000,52,111,3,True
quality_without_angle,macro_f1_5,0.027157506602530024,-0.032629594826940785,0.10426013005619635,2000,52,111,3,True
quality_without_angle,qwk5,0.03363428621185749,-0.04566333119034329,0.12370443532667148,2000,52,111,3,True
quality_without_angle,mae_bcs,-0.048048048048048075,-0.11746031746031749,0.022017819706499023,2000,52,111,3,False
angle_quality_interaction,acc5,-0.015015015015014788,-0.05865567670474194,0.027560438711670535,2000,52,111,3,True
angle_quality_interaction,macro_f1_5,-0.007292729044089841,-0.09745585025524785,0.06393224232875433,2000,52,111,3,True
angle_quality_interaction,qwk5,-0.03203045466483556,-0.1150867111507867,0.03075538068803099,2000,52,111,3,True
angle_quality_interaction,mae_bcs,0.03903903903903905,-0.024024024024023823,0.10235645933014358,2000,52,111,3,False
multi_frame_vs_single_frame,acc5,0.05705705705705716,0.005999534016775374,0.1142880485527544,2000,52,111,3,True
multi_frame_vs_single_frame,macro_f1_5,0.06144410332363698,-0.013559203351562358,0.12566664829500113,2000,52,111,3,True
multi_frame_vs_single_frame,qwk5,0.033295217344147976,-0.0331507862198307,0.09430021506441509,2000,52,111,3,True
multi_frame_vs_single_frame,mae_bcs,-0.05705705705705699,-0.13636363636363635,0.021226989521382095,2000,52,111,3,False
attention_vs_mean_pooling,acc5,0.05105105105105112,0.019043126684636053,0.0886949014025098,2000,52,111,3,True
attention_vs_mean_pooling,macro_f1_5,0.06141115672370795,0.02220064818941096,0.10193953610493345,2000,52,111,3,True
attention_vs_mean_pooling,qwk5,0.05689904089232789,-0.007408257598443132,0.1330149350435028,2000,52,111,3,True
attention_vs_mean_pooling,mae_bcs,-0.10510510510510507,-0.16814225730154927,-0.04957899149598754,2000,52,111,3,False
