variant,seed,bcs,support,predicted_count,recall
V,2026,2,5,12,0.6
V,2026,3,14,13,0.42857142857142855
V,2026,4,33,34,0.36363636363636365
V,2026,5,36,29,0.4444444444444444
V,2026,6,23,23,0.9565217391304348
V,2027,2,5,3,0.0
V,2027,3,14,11,0.42857142857142855
V,2027,4,33,30,0.3333333333333333
V,2027,5,36,41,0.5555555555555556
V,2027,6,23,26,1.0
V,2028,2,5,7,0.4
V,2028,3,14,25,0.6428571428571429
V,2028,4,33,23,0.3333333333333333
V,2028,5,36,32,0.5833333333333334
V,2028,6,23,24,0.9565217391304348
VA,2026,2,5,5,0.2
VA,2026,3,14,18,0.5
VA,2026,4,33,36,0.5151515151515151
VA,2026,5,36,28,0.5
VA,2026,6,23,24,0.9565217391304348
VA,2027,2,5,4,0.2
VA,2027,3,14,18,0.42857142857142855
VA,2027,4,33,15,0.18181818181818182
VA,2027,5,36,49,0.7222222222222222
VA,2027,6,23,25,1.0
VA,2028,2,5,4,0.2
VA,2028,3,14,22,0.6428571428571429
VA,2028,4,33,50,0.6666666666666666
VA,2028,5,36,12,0.2777777777777778
VA,2028,6,23,23,0.9565217391304348
VAQ,2026,2,5,6,0.4
VAQ,2026,3,14,16,0.5
VAQ,2026,4,33,35,0.5454545454545454
VAQ,2026,5,36,31,0.5833333333333334
VAQ,2026,6,23,23,0.9565217391304348
VAQ,2027,2,5,2,0.0
VAQ,2027,3,14,15,0.5
VAQ,2027,4,33,38,0.3939393939393939
VAQ,2027,5,36,30,0.4444444444444444
VAQ,2027,6,23,26,1.0
VAQ,2028,2,5,8,0.4
VAQ,2028,3,14,15,0.6428571428571429
VAQ,2028,4,33,54,0.696969696969697
VAQ,2028,5,36,11,0.2222222222222222
VAQ,2028,6,23,23,0.9565217391304348
VQ,2026,2,5,3,0.2
VQ,2026,3,14,15,0.5714285714285714
VQ,2026,4,33,29,0.3939393939393939
VQ,2026,5,36,39,0.6111111111111112
VQ,2026,6,23,25,1.0
VQ,2027,2,5,4,0.2
VQ,2027,3,14,16,0.5
VQ,2027,4,33,34,0.36363636363636365
VQ,2027,5,36,32,0.4444444444444444
VQ,2027,6,23,25,1.0
VQ,2028,2,5,8,0.4
VQ,2028,3,14,15,0.5714285714285714
VQ,2028,4,33,43,0.5757575757575758
VQ,2028,5,36,22,0.3888888888888889
VQ,2028,6,23,23,0.9565217391304348
V_mean,2026,2,5,13,0.6
V_mean,2026,3,14,18,0.5
V_mean,2026,4,33,18,0.24242424242424243
V_mean,2026,5,36,40,0.5833333333333334
V_mean,2026,6,23,22,0.9130434782608695
V_mean,2027,2,5,5,0.0
V_mean,2027,3,14,28,0.42857142857142855
V_mean,2027,4,33,15,0.09090909090909091
V_mean,2027,5,36,39,0.5277777777777778
V_mean,2027,6,23,24,0.9565217391304348
V_mean,2028,2,5,9,0.2
V_mean,2028,3,14,25,0.5
V_mean,2028,4,33,20,0.24242424242424243
V_mean,2028,5,36,34,0.5555555555555556
V_mean,2028,6,23,23,0.9130434782608695
V_single,2026,2,5,5,0.2
V_single,2026,3,14,21,0.6428571428571429
V_single,2026,4,33,34,0.3333333333333333
V_single,2026,5,36,30,0.4444444444444444
V_single,2026,6,23,21,0.8260869565217391
V_single,2027,2,5,3,0.2
V_single,2027,3,14,17,0.5
V_single,2027,4,33,20,0.18181818181818182
V_single,2027,5,36,49,0.6666666666666666
V_single,2027,6,23,22,0.8260869565217391
V_single,2028,2,5,4,0.0
V_single,2028,3,14,15,0.35714285714285715
V_single,2028,4,33,27,0.2727272727272727
V_single,2028,5,36,44,0.5277777777777778
V_single,2028,6,23,21,0.8260869565217391
