epoch,loss,score,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
1,2.172872682051225,-0.2381296465371071,20,0.05,0.02,-0.02582496413199431,2.45,0.15,0.0909090909090909,4
2,2.104924108765342,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
3,1.9100301309065386,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
4,1.6811773733659223,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
5,1.4277471022172408,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
6,1.0764323364604602,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
7,1.1629519896073774,-0.23304347826086957,20,0.05,0.019047619047619046,0.0,2.45,0.15,0.08695652173913043,4
8,1.08212279623205,-0.23194457716196848,20,0.05,0.023529411764705882,0.0031397174254317317,2.25,0.25,0.08695652173913043,4
9,0.7474839839068326,0.6252359311347213,20,0.35,0.3282051282051282,0.5332555425904317,1.1,0.55,0.4385964912280702,0
10,1.0917988777160645,0.6487962059213654,20,0.35,0.4470588235294118,0.6005706134094151,0.9,0.75,0.4385964912280702,0
11,1.2178193482485684,0.4087914230019493,20,0.3,0.22483660130718955,0.33834586466165417,1.1,0.7,0.3703703703703704,1
12,0.8573867776177146,0.4087914230019493,20,0.3,0.22483660130718955,0.33834586466165417,1.1,0.7,0.3703703703703704,1
13,0.6361822811040011,0.6487962059213654,20,0.35,0.4470588235294118,0.6005706134094151,0.9,0.75,0.4385964912280702,0
14,0.7473995371298356,0.6331176346801346,20,0.35,0.42777777777777776,0.6448863636363636,0.85,0.8,0.4074074074074074,0
15,0.6806658029556274,0.6254028344010871,20,0.35,0.4133333333333333,0.6888260254596889,0.8,0.85,0.3843137254901961,0
