epoch,loss,score,n,acc5,macro_f1_5,qwk5,mae_bcs,within_one_acc,macro_f1_3,extreme_lean_high
1,2.2192451468968795,0.2298850574712644,19,0.21052631578947367,0.06956521739130435,0.0,1.0526315789473684,0.7368421052631579,0.2298850574712644,0
2,2.168955237178479,-0.1811111111111111,19,0.0,0.0,0.0,2.3684210526315788,0.2631578947368421,0.1388888888888889,4
3,2.084460343344737,-0.1811111111111111,19,0.0,0.0,0.0,2.3684210526315788,0.2631578947368421,0.1388888888888889,4
4,2.023637840303324,-0.1811111111111111,19,0.0,0.0,0.0,2.3684210526315788,0.2631578947368421,0.1388888888888889,4
5,2.0098442708031605,-0.1811111111111111,19,0.0,0.0,0.0,2.3684210526315788,0.2631578947368421,0.1388888888888889,4
6,1.932728597673319,-0.1811111111111111,19,0.0,0.0,0.0,2.3684210526315788,0.2631578947368421,0.1388888888888889,4
7,1.6938219090639535,-0.1811111111111111,19,0.0,0.0,0.0,2.3684210526315788,0.2631578947368421,0.1388888888888889,4
8,1.5155226052817652,-0.17758169934640525,19,0.0,0.0,0.010084033613445342,2.3157894736842106,0.2631578947368421,0.1388888888888889,4
9,1.4372269056611142,0.29658210772217286,19,0.21052631578947367,0.2,0.23669923995656894,1.5789473684210527,0.47368421052631576,0.3737373737373737,2
10,1.3415731575529455,0.36067490742189523,19,0.21052631578947367,0.2,0.22604704532415365,1.5263157894736843,0.5263157894736842,0.4415584415584415,2
11,1.3497027441606684,0.6386293657077505,19,0.47368421052631576,0.2776470588235294,0.5336500395882819,0.8947368421052632,0.631578947368421,0.4518518518518519,0
12,1.3931630061844649,0.6804859548096143,19,0.47368421052631576,0.2830409356725146,0.5964316057774002,0.7894736842105263,0.7368421052631579,0.4717348927875243,0
13,1.193281575784845,0.2132905982905983,19,0.15789473684210525,0.08,0.24603174603174605,1.5789473684210527,0.5263157894736842,0.2871794871794872,3
14,0.9048996688955921,0.7703091521273339,19,0.5263157894736842,0.37333333333333335,0.5289256198347108,0.7368421052631579,0.7368421052631579,0.5851851851851851,0
15,1.1182694515939486,0.5017390195703447,19,0.42105263157894735,0.3083333333333333,0.18244406196213425,1.0526315789473684,0.7368421052631579,0.5978835978835978,2
16,0.7382541207943932,0.4796989540031148,19,0.42105263157894735,0.31047619047619046,0.21575984990619146,1.0526315789473684,0.6842105263157895,0.5241830065359477,3
17,0.9246433276241108,0.4385286935286935,19,0.3684210526315789,0.2533333333333333,0.2205128205128205,1.1578947368421053,0.631578947368421,0.48134920634920636,3
18,0.7148901931310104,0.88006230529595,19,0.5789473684210527,0.4462337662337662,0.5462097611630322,0.6842105263157895,0.7368421052631579,0.6888888888888888,0
19,0.6351746199494701,0.9062292606596404,19,0.5263157894736842,0.3844444444444444,0.5408515535097814,0.6842105263157895,0.7894736842105263,0.7169312169312169,0
20,1.085823604616068,0.8561076604554865,19,0.47368421052631576,0.35126050420168065,0.47619047619047616,0.7368421052631579,0.7894736842105263,0.6894409937888198,0
21,0.7035714347483748,0.6945543345543345,19,0.47368421052631576,0.36698412698412697,0.2901098901098901,0.8421052631578947,0.7894736842105263,0.673015873015873,1
22,0.7100396671537625,0.3902068302068301,19,0.42105263157894735,0.32857142857142857,0.014814814814814725,1.1578947368421053,0.631578947368421,0.545021645021645,2
23,0.593167721214941,0.5781348514774796,19,0.42105263157894735,0.3424242424242424,0.2630085146641439,1.0,0.6842105263157895,0.5660818713450292,1
24,0.7517817727590012,0.7112414467253177,19,0.42105263157894735,0.2921212121212121,0.3870967741935484,0.8947368421052632,0.6842105263157895,0.5757575757575758,0
25,0.6619358426433498,0.8561076604554865,19,0.47368421052631576,0.35126050420168065,0.47619047619047616,0.7368421052631579,0.7894736842105263,0.6894409937888198,0
26,0.48449950703119826,0.9062292606596404,19,0.5263157894736842,0.3844444444444444,0.5408515535097814,0.6842105263157895,0.7894736842105263,0.7169312169312169,0
27,0.5990607501086542,0.6561164021164021,19,0.47368421052631576,0.35666666666666663,0.24,0.8947368421052632,0.7368421052631579,0.6521164021164021,1
28,0.6171738040649285,0.7592149461714679,19,0.5263157894736842,0.3904761904761905,0.3971797884841364,0.7894736842105263,0.6842105263157895,0.6202020202020202,0
29,0.48026108691247843,0.8207522201495512,19,0.5263157894736842,0.4015873015873016,0.4356435643564357,0.7368421052631579,0.7368421052631579,0.6682769726247987,0
30,0.6042494107100923,0.8822222222222222,19,0.47368421052631576,0.3555555555555555,0.4571428571428571,0.7368421052631579,0.7894736842105263,0.7222222222222223,0
31,0.5428028733043347,0.5596610385067888,19,0.42105263157894735,0.3534188034188034,0.18258132214060852,1.0,0.6842105263157895,0.5757575757575758,1
32,0.6424933482529753,0.4620601316491727,19,0.42105263157894735,0.37777777777777777,0.070450097847358,1.0526315789473684,0.7368421052631579,0.5974025974025974,2
33,0.47198674335318097,0.8896732026143792,19,0.5263157894736842,0.41792717086834735,0.4784313725490196,0.6842105263157895,0.7894736842105263,0.7222222222222223,0
34,0.3905676017373295,0.8822222222222222,19,0.47368421052631576,0.3555555555555555,0.4571428571428571,0.7368421052631579,0.7894736842105263,0.7222222222222223,0
35,0.6754611124426632,0.8633375889968905,19,0.5263157894736842,0.41428571428571426,0.4968474148802019,0.6842105263157895,0.7894736842105263,0.6894409937888198,0
36,0.9805506467819214,0.6257711300836205,19,0.42105263157894735,0.32857142857142857,0.2167255594817432,0.8947368421052632,0.7894736842105263,0.6299171842650103,1
37,0.5305578264139467,0.6257711300836205,19,0.42105263157894735,0.32857142857142857,0.2167255594817432,0.8947368421052632,0.7894736842105263,0.6299171842650103,1
38,0.5577219946909759,0.604015544920748,19,0.42105263157894735,0.3226890756302521,0.1545667447306791,0.9473684210526315,0.7368421052631579,0.6299171842650103,1
39,0.6372299497410402,0.8822222222222222,19,0.47368421052631576,0.3555555555555555,0.4571428571428571,0.7368421052631579,0.7894736842105263,0.7222222222222223,0
40,0.5954690838264207,0.8822222222222222,19,0.47368421052631576,0.3555555555555555,0.4571428571428571,0.7368421052631579,0.7894736842105263,0.7222222222222223,0
41,0.6176346217171621,0.6353478057889823,19,0.5263157894736842,0.43809523809523804,0.16176470588235292,0.8421052631578947,0.7368421052631579,0.6587301587301587,1
42,0.6140224377987749,0.6353478057889823,19,0.5263157894736842,0.43809523809523804,0.16176470588235292,0.8421052631578947,0.7368421052631579,0.6587301587301587,1
43,0.5093351622759286,0.8822222222222222,19,0.47368421052631576,0.3555555555555555,0.4571428571428571,0.7368421052631579,0.7894736842105263,0.7222222222222223,0
44,0.5751603450310432,0.8822222222222222,19,0.47368421052631576,0.3555555555555555,0.4571428571428571,0.7368421052631579,0.7894736842105263,0.7222222222222223,0
45,0.4495894934161235,0.8822222222222222,19,0.47368421052631576,0.3555555555555555,0.4571428571428571,0.7368421052631579,0.7894736842105263,0.7222222222222223,0
