bag_id,animal_id,fold_id,seed,variant,true_label5,half,n_all_frames,n_good_frames,eligible,reference_pred_label5,pred_label5,angle,good_frame_ratio,prob_bcs2,prob_bcs3,prob_bcs4,prob_bcs5,prob_bcs6
BCS2__Cow_21_8029,Cow_21,0,2026,VAQ,0,first,30,15,1,0,0.0,164.0653610753726,0.5,0.9167790412902832,0.0008409856236539781,0.004554694518446922,0.00639733299612999,0.07142800092697144
BCS2__Cow_21_8029,Cow_21,0,2026,VAQ,0,second,31,2,0,0,,,,,,,,
BCS3__Cow_16,Cow_16,0,2026,VAQ,1,first,22,7,1,2,2.0,165.77273861474427,0.3181818181818182,0.0009270606678910553,0.011479885317385197,0.5098678469657898,0.47594237327575684,0.001782847917638719
BCS3__Cow_16,Cow_16,0,2026,VAQ,1,second,22,13,1,2,2.0,163.54724035520573,0.5909090909090909,0.0008156795520335436,0.009409802034497261,0.5030379891395569,0.4849623739719391,0.001774151111021638
BCS3__Cow_16_1004,Cow_16,0,2026,VAQ,1,first,2,1,0,2,,,,,,,,
BCS3__Cow_16_1004,Cow_16,0,2026,VAQ,1,second,2,2,0,2,,,,,,,,
BCS3__Cow_25_66,Cow_25,0,2026,VAQ,1,first,2,2,0,2,,,,,,,,
BCS3__Cow_25_66,Cow_25,0,2026,VAQ,1,second,3,1,0,2,,,,,,,,
BCS3__Cow_2_1015,Cow_2,0,2026,VAQ,1,first,2,2,0,3,,,,,,,,
BCS3__Cow_2_1015,Cow_2,0,2026,VAQ,1,second,3,2,0,3,,,,,,,,
BCS3__Cow_46,Cow_46,0,2026,VAQ,1,first,30,16,1,1,1.0,166.20161861967796,0.5333333333333333,0.021456601098179817,0.7252750396728516,0.14782670140266418,0.10524674504995346,0.00019491222337819636
BCS3__Cow_46,Cow_46,0,2026,VAQ,1,second,30,1,0,1,,,,,,,,
BCS3__Cow_46_1,Cow_46,0,2026,VAQ,1,first,19,9,1,1,1.0,162.44824920426407,0.47368421052631576,0.02752557210624218,0.9202628135681152,0.029604487121105194,0.02259100414812565,1.6145038898685016e-05
BCS3__Cow_46_1,Cow_46,0,2026,VAQ,1,second,20,0,0,1,,,,,,,,
BCS3__Cow_46_2,Cow_46,0,2026,VAQ,1,first,3,2,0,1,,,,,,,,
BCS3__Cow_46_2,Cow_46,0,2026,VAQ,1,second,3,1,0,1,,,,,,,,
BCS3__Cow_53,Cow_53,0,2026,VAQ,1,first,3,3,1,1,1.0,168.2141197338734,1.0,0.06665004044771194,0.7005939483642578,0.11929399520158768,0.11311190575361252,0.00035012862645089626
BCS3__Cow_53,Cow_53,0,2026,VAQ,1,second,4,0,0,1,,,,,,,,
BCS4__Cow_15_68,Cow_15,0,2026,VAQ,2,first,1,1,0,3,,,,,,,,
BCS4__Cow_15_68,Cow_15,0,2026,VAQ,2,second,2,2,0,3,,,,,,,,
BCS4__Cow_17,Cow_17,0,2026,VAQ,2,first,13,4,1,3,3.0,171.7298640420105,0.3076923076923077,0.000304446934023872,0.0032663149759173393,0.4572465717792511,0.5384765863418579,0.0007061201613396406
BCS4__Cow_17,Cow_17,0,2026,VAQ,2,second,13,6,1,3,3.0,172.66973605171208,0.46153846153846156,0.00033350219018757343,0.003051987150683999,0.43611595034599304,0.5596566796302795,0.0008418122888542712
BCS4__Cow_19,Cow_19,0,2026,VAQ,2,first,32,27,1,2,2.0,171.24997480800033,0.84375,0.014232867397367954,0.2595779299736023,0.40098699927330017,0.32001957297325134,0.005182608962059021
BCS4__Cow_19,Cow_19,0,2026,VAQ,2,second,33,30,1,2,2.0,169.91049239817312,0.9090909090909091,0.013515522703528404,0.20747110247612,0.4285122752189636,0.34395697712898254,0.006544149946421385
BCS4__Cow_19_0037,Cow_19,0,2026,VAQ,2,first,3,3,1,3,3.0,165.8417344296178,1.0,0.0005306072998791933,0.005826506298035383,0.46230944991111755,0.5301349759101868,0.0011984586017206311
BCS4__Cow_19_0037,Cow_19,0,2026,VAQ,2,second,3,2,0,3,,,,,,,,
BCS4__Cow_2,Cow_2,0,2026,VAQ,2,first,7,5,1,3,3.0,174.4267503507631,0.7142857142857143,0.0005084993317723274,0.0005463164416141808,0.2913517951965332,0.7050197124481201,0.0025736817624419928
BCS4__Cow_2,Cow_2,0,2026,VAQ,2,second,8,8,1,3,3.0,172.83144698751408,1.0,0.0005559979472309351,0.0007940875366330147,0.3179967999458313,0.6786393523216248,0.0020136903040111065
BCS4__Cow_23,Cow_23,0,2026,VAQ,2,first,21,10,1,2,2.0,169.2197307476981,0.47619047619047616,0.0029438368510454893,0.07092348486185074,0.548109233379364,0.37625911831855774,0.0017642582533881068
BCS4__Cow_23,Cow_23,0,2026,VAQ,2,second,21,8,1,2,2.0,169.55395232177875,0.38095238095238093,0.0031967798713594675,0.07103362679481506,0.5506591796875,0.3732990622520447,0.001811366993933916
BCS4__Cow_31,Cow_31,0,2026,VAQ,2,first,6,6,1,0,0.0,169.24219404261424,1.0,0.6708147525787354,0.05409173667430878,0.10309454798698425,0.16873914003372192,0.0032598408870399
BCS4__Cow_31,Cow_31,0,2026,VAQ,2,second,7,6,1,0,0.0,169.1895308412586,0.8571428571428571,0.9635160565376282,0.01244477927684784,0.00779624842107296,0.01602078042924404,0.00022217145306058228
BCS4__Cow_32_0035,Cow_32,0,2026,VAQ,2,first,4,4,1,1,1.0,161.37090607601982,1.0,0.011273202486336231,0.4484139382839203,0.3350510001182556,0.20432183146476746,0.0009400405688211322
BCS4__Cow_32_0035,Cow_32,0,2026,VAQ,2,second,4,4,1,1,1.0,168.98920759259374,1.0,0.009939225390553474,0.455513060092926,0.31417396664619446,0.21945884823799133,0.0009149240795522928
BCS4__Cow_44_1,Cow_44,0,2026,VAQ,2,first,23,7,1,3,3.0,170.64047862721952,0.30434782608695654,0.0004233581421431154,0.00197188020683825,0.418719619512558,0.5778629779815674,0.0010221748379990458
BCS4__Cow_44_1,Cow_44,0,2026,VAQ,2,second,23,15,1,3,3.0,169.04432685258152,0.6521739130434783,0.001014466630294919,0.003280926262959838,0.4198610782623291,0.5736191272735596,0.0022244222927838564
BCS4__Cow_51,Cow_51,0,2026,VAQ,2,first,2,2,0,2,,,,,,,,
