bag_id,animal_id,fold_id,seed,variant,true_label5,frame_count,available_good_frames,mean_unique_frames,repeat_agreement_with_reference,modal_consistency,mean_abs_bcs_change,expected_bcs_sd,mean_total_variation,repeated_accuracy
BCS2__Cow_21_8029,Cow_21,0,2026,VAQ,0,1,17,1.0,1.0,1.0,0.0,0.09667248103062494,0.022464482113718987,1.0
BCS2__Cow_21_8029,Cow_21,0,2026,VAQ,0,3,17,3.0,1.0,1.0,0.0,0.05871950796582246,0.01256822794675827,1.0
BCS2__Cow_21_8029,Cow_21,0,2026,VAQ,0,6,17,6.0,1.0,1.0,0.0,0.04134960876876738,0.009340472519397736,1.0
BCS2__Cow_21_8029,Cow_21,0,2026,VAQ,0,12,17,12.0,1.0,1.0,0.0,0.016689274059485115,0.00550475437194109,1.0
BCS3__Cow_16,Cow_16,0,2026,VAQ,1,1,20,1.0,0.84,0.84,0.16,0.012723101166939685,0.010853755287826061,0.0
BCS3__Cow_16,Cow_16,0,2026,VAQ,1,3,20,3.0,0.92,0.92,0.08,0.007083590976827049,0.006333916913717985,0.0
BCS3__Cow_16,Cow_16,0,2026,VAQ,1,6,20,6.0,1.0,1.0,0.0,0.004414033387836834,0.004526827484369278,0.0
BCS3__Cow_16,Cow_16,0,2026,VAQ,1,12,20,12.0,1.0,1.0,0.0,0.0021846558976907084,0.0039176857098937035,0.0
BCS3__Cow_16_1004,Cow_16,0,2026,VAQ,1,1,3,1.0,0.66,0.66,0.34,0.12087379282542556,0.0687878280878067,0.34
BCS3__Cow_16_1004,Cow_16,0,2026,VAQ,1,3,3,3.0,1.0,1.0,0.0,0.0,0.02340262569487095,0.0
BCS3__Cow_16_1004,Cow_16,0,2026,VAQ,1,6,3,2.7,0.86,0.86,0.14,0.05572737559549,0.03989316150546074,0.14
BCS3__Cow_16_1004,Cow_16,0,2026,VAQ,1,12,3,2.96,0.98,0.98,0.02,0.034227258211470366,0.027919497340917587,0.02
BCS3__Cow_25_66,Cow_25,0,2026,VAQ,1,1,3,1.0,1.0,1.0,0.0,0.04935760138131781,0.024282898753881454,0.0
BCS3__Cow_25_66,Cow_25,0,2026,VAQ,1,3,3,3.0,1.0,1.0,0.0,2.1087774631654697e-08,0.014849228784441948,0.0
