test_fold,role,bcs_raw,n_episodes
0,train,2,4
0,train,3,5
0,train,4,19
0,train,5,15
0,train,6,11
0,validation,2,0
0,validation,3,1
0,validation,4,2
0,validation,5,9
0,validation,6,3
0,test,2,1
0,test,3,8
0,test,4,12
0,test,5,12
0,test,6,9
1,train,2,1
1,train,3,9
1,train,4,14
1,train,5,19
1,train,6,12
1,validation,2,1
1,validation,3,2
1,validation,4,8
1,validation,5,5
1,validation,6,4
1,test,2,3
1,test,3,3
1,test,4,11
1,test,5,12
1,test,6,7
2,train,2,4
2,train,3,6
2,train,4,17
2,train,5,20
2,train,6,12
2,validation,2,0
2,validation,3,5
2,validation,4,6
2,validation,5,4
2,validation,6,4
2,test,2,1
2,test,3,3
2,test,4,10
2,test,5,12
2,test,6,7
