test_fold,role,bag_id,animal_id,outer_fold,bcs_raw
0,train,BCS2__Cow_11,Cow_11,1,2
0,train,BCS2__Cow_11_1,Cow_11,1,2
0,train,BCS2__Cow_11_2,Cow_11,1,2
0,train,BCS2__Cow_5_1,Cow_5,2,2
0,train,BCS3__Cow_14,Cow_14,1,3
0,train,BCS3__Cow_14_0011,Cow_14,1,3
0,train,BCS3__Cow_22,Cow_22,2,3
0,train,BCS3__Cow_22_1,Cow_22,2,3
0,train,BCS3__Cow_6_103,Cow_6,1,3
0,train,BCS4__Cow_1,Cow_1,1,4
0,train,BCS4__Cow_10,Cow_10,2,4
0,train,BCS4__Cow_10_2038,Cow_10,2,4
0,train,BCS4__Cow_22_6005,Cow_22,2,4
0,train,BCS4__Cow_26,Cow_26,1,4
0,train,BCS4__Cow_26_5051,Cow_26,1,4
0,train,BCS4__Cow_29_7007,Cow_29,1,4
0,train,BCS4__Cow_30,Cow_30,2,4
0,train,BCS4__Cow_33,Cow_33,1,4
0,train,BCS4__Cow_4,Cow_4,1,4
0,train,BCS4__Cow_41,Cow_41,1,4
0,train,BCS4__Cow_42,Cow_42,2,4
0,train,BCS4__Cow_47_1,Cow_47,2,4
0,train,BCS4__Cow_48,Cow_48,1,4
0,train,BCS4__Cow_49,Cow_49,2,4
0,train,BCS4__Cow_4_1,Cow_4,1,4
0,train,BCS4__Cow_55,Cow_55,2,4
0,train,BCS4__Cow_6,Cow_6,1,4
0,train,BCS4__Cow_9,Cow_9,2,4
0,train,BCS5__Cow_10_0029,Cow_10,2,5
0,train,BCS5__Cow_13,Cow_13,1,5
0,train,BCS5__Cow_13_8001,Cow_13,1,5
0,train,BCS5__Cow_1_27,Cow_1,1,5
0,train,BCS5__Cow_29,Cow_29,1,5
0,train,BCS5__Cow_3,Cow_3,2,5
0,train,BCS5__Cow_30_30,Cow_30,2,5
0,train,BCS5__Cow_37,Cow_37,1,5
0,train,BCS5__Cow_37_and_38,Cow_37,1,5
0,train,BCS5__Cow_43,Cow_43,1,5
0,train,BCS5__Cow_48_1018,Cow_48,1,5
0,train,BCS5__Cow_50,Cow_50,2,5
0,train,BCS5__Cow_50_49,Cow_50,2,5
0,train,BCS5__Cow_54,Cow_54,1,5
0,train,BCS5__Cow_6_5051,Cow_6,1,5
0,train,BCS6__Cow_11_07,Cow_11,1,6
0,train,BCS6__Cow_13_66,Cow_13,1,6
0,train,BCS6__Cow_18,Cow_18,2,6
0,train,BCS6__Cow_18_32,Cow_18,2,6
0,train,BCS6__Cow_26_6,Cow_26,1,6
0,train,BCS6__Cow_29_NOTAG,Cow_29,1,6
0,train,BCS6__Cow_35,Cow_35,1,6
0,train,BCS6__Cow_3_25,Cow_3,2,6
0,train,BCS6__Cow_47_68,Cow_47,2,6
0,train,BCS6__Cow_4_103,Cow_4,1,6
0,train,BCS6__Cow_9_1044,Cow_9,2,6
0,validation,BCS3__Cow_20_0029,Cow_20,2,3
0,validation,BCS4__Cow_27_9008,Cow_27,1,4
0,validation,BCS4__Cow_8,Cow_8,2,4
